comments,Logistic Regression,Gradient Boosting
tanta tecnologia tanta pollada para tener un pisa papeles carisimo mira yo prefiero seguir con mi golf cuatro tdi 110cv que es irrompible y jamas me a dado un problema y el dia que se me muera lo cambiare por otro diesel lo que me da pena es que creo que jamas sera tan fiable como mi golfito,0,0
resulta que pagas el coche y no es tuyo increible la culpa tienen los que los compran a que vamos a llegar,0,0
esto tiene que ser ilegal seguro madre mia donde vamoseres muy grande angel,1,1
por favor no compren tesla es un completo engano ahora entiendo por que personas de diferentes partes del mundo que han sido duenos de estos dolores de cabeza los explotan o demandan a tesla pero aunque son pocos los casos la gente se cansa de tantos obstaculos para arreglar un tesla terminan desechandolos por eso en el mercado a la hora de venderlos deprecian tanto su valor y mas cuando la misma tesla te quiere controlar el vehiculo y te lo bloquea esto es una historia de terror corporativo,0,0
tengo un renault zoe y sinceramente voy a volver a la combustion o al hibrido como en los moviles las baterias de los coches se van degradando y pasados dos anos te encuentras con que la bateria del coche solo puede cargar a un maximo del noventa u ochenta y cinco duda para cuando el hidrogeno,0,0
voy corriendo a comprar uno,1,1
no quiero un testla ni regalao donde este el motor termico de toa la vida que se quiten las lavadoras con ruedas en mi coche mando yo no la marca,0,0
en espana no se puede hacer nada solo currar y pagar impuestos nosotros los espanoles no luchamos por nada,1,1
la enganifa de los electricos nos lo intentaron vender como la panacea y hay paises que hasta han prohibido su comercializacion,0,0
pues eso pasa por aceptar sus politicas,0,1
yo lo tengo muy claro clarinete desde principio no quiero un coche electrico,0,1
por mucho que nos quieran meter el coche electrico con calzador sigo prefiriendo mi diesel de 1000km de autonomia sin sorpresas ademas tanto euro cuatro euro cinco etc etc para que no se supone que los coches modernos con todos los filtros que tienen son mucho menos contaminantes creo que desde europa si han columpiado saludos,0,0
buclecar no m compro un coche electrico con addblue puretech o tecnologico ni harto vino,1,1
agenda dos mil treinta,0,1
q bien ser propietario de un coche sobre el q no tienes autoridad ninguna ante la minima incidencia viva el progreso,0,0
angel todos tus videos me animan a rechazar todo lo relacionado con el coche electrico vaya timo,1,0
gaytan un saludo desde mexico seria genial que hicieran un video tu y la version mexicana de ti me refiero al canal autobuotique catorce de milla con ricardo guzman el es de los pocos que no se ha dejado silenciar x toda lacorrupcion automotriz que nos afecta a los mexicanos saludos,0,0
pues eso lo pirateas y lo arreglas y sera un salvaje gaitan y no un tesla,0,0
lo de meterle al tesla un motor v8 lo hizo hace unos anos un americano muy muy loco acabo siendo denunciado por tesla pero gano el juicio tecnicamente hablando angel le podrias meter un motor v12 a esa trasto y lo mismo si puedes matricularlo no seria hablar con un ingeniero amigue guino y que te haga los papeles a tesla le da un jamacuco si te sale bien,0,0
el caso del azul lo conozco bien probablemente haya un accidente registrado en los modulos de srs y tas se puede limpiar con las herramientas adecuadas yo las tengo luego habria que cambiar los fusibles pirotecnicos que hayan saltado probablemente el de la bateria de 12v despues de eso el coche deberia revivir no es que tesla este apagando el coche en remoto pero ciertamente no te lo va a poner facil para arreglarlo,0,0
que razon tienes angel este es el futuro tu propio coche bloqueado en remoto por terceros no estoy en contra de que las cosas sean mas ecologicas pero el negocio hipocrita que se genera al rededor da asco yo seguire con mi passat tdi mientras pueda y gracias por ir destapando las grades chanchulladas de las marcas te sigo tambien en el pegrama de iker en cuatro un saludo,0,0
los bornes no hace falta fabricar el grupo serca de recambios de automocion los vende,1,0
una europa de mentiras agenda veinte treinta ecologia total mentira menos mal que vienen las elecciones europeas yo por lo menos se que voy a votar,1,0
por esa razon quieren que todos los coches tengan conectividad te lo venden como algo util para ti pero la realidad es la de poder controlarte y ellos deciden si circulas o no,1,0
en espana esta todo prohibido y no se puede hacer nada,1,0
igual que los iphone,1,1
una verguenza seguramente que lo que esta haciendo tesla sea totalmente ilegal ya que tu tendras el comprobante de la compra y la agencia que lo subasta tendra la documentacion del propietario original por lo que a todas luces ese vehiculo es tuyo y por ende tesla esta cometiendo una ilegalidad este tipo de practicas asi como la exclusividad de sus componentes como las bornas de la bateria sean mas ilegalidades tu que cuentas con medios contactos y ciertos recursos economicos podrias tratar de exponer el problema asesorado por algun colegio de abogados que quieran salir en titulares y exponer una denuncia a bruselas por esta practica ilegal asi como la negacion a vender ciertos componentes de recambio para el vehiculo que es posible que esten incurriendo en un delito monopolista algo que en europa esta muy penado y podemos ver casos como el de apple o en el pasado de microsoft saludos y animo que no se te suban a las barbas estos yankees,0,0
ahora hay reglas y la ley se la pasan por donde les parece es la nueva normalidad y te jodes,0,0
por eso quieren criminalizar las reparaciones de coches viejos para que no haya mas opcion que pasar por el aro electrico y te puedan apagar el coche mas alla del rango de quince minutos,0,0
eso que esta haciendo tesla bloqueando vehiculos es ilegal despues que alguien compra el vehiculo es propietario o titular no esta obligado a depender de ninguna compania con su vehiculo puede hacer lo que quiera y repararlo donde este quiera,0,0
el video es tendencioso y malintencionado el titulo no dice que es siniestro me parece perfecto por seguridad el autor manipula y saca de contexto el bloqueo,0,0
esto no son coches son smartphones con ruedas seguid comprando esta mirda que estan hasta culo de cableados,0,0
tengo entendido que los tesla tienen varias ecu habria que intentar hackear una por una o en el final de los casos conectarse a los sensores independientemente uno por uno e ir activando servicios tratando de activardesbloquear la carga de las baterias o puenteandolas de poder todo se puede cuestion de tiempo,0,0
yo lo sabia que tarde o temprano saldria algun problema como este de los nuevos coches electricos en esta epoca donde todo el mundo quiere controlarte y sacarte asta el ultimo centimo de tu cartera a como de lugar pasandose tus derechos por donde amargan los pepinos y nunca da el sol la cosa es ganar ellos siempre y tu que eres el comprador que eres el que paga pues a ti que te den,0,0
gracias angel,1,1
sigan comprando autos electricos que a final de cuentas tiene una huella de carbono larga y las baterias son basura toxica y peligrosa pero sobre todo comprar esa tecnologia con la cual nos pueden controlar remotamente el funcionamiento o no de un auto,0,0
dale,1,1
muy bueno angel,1,1
motor v8 y a circuito con pedrito,1,1
hasta que se va viendo la realidad compras un auto y no es tuyo y a otro con la mentira que no contamina pues de donde sale la energia para cargarlo muchisimas usinas a carbon o diesel jajaj hasta si lo piensas bien esos autos no son electricos solo que cargas combustible por la linea electrica,0,0
ya sabemos agenda veinte treinta vente y trinca no tendras nada y seras feliz,1,1
pirateo como los iphone con el jailbreak hahaha,1,0
gora espanya jajajaja,1,1
tesla hace lo mismo que las administraciones publicas de este pais por lo menos las vivencias que he vivido yo a la hora de hacer algunos papeleos yo les he puesto nombre a estos momentos poco agradables en el caso de papeleos que te exigen realizar la administracion publica y que ni tan siquiera puedes pedir una cita previa y te tiras dos meses levantandote a las cuatro de la mnana para ver si te toca el premio de una simple cita yo lo llamo bruseladas o puertas giratorias por lo que veo tesla hace los mismo antes me muevo en transporte publico que moverme en un tesla,0,0
los vehiculos electricos contaminan mas que cualquier otro si los gobiernos de verdad quisieran combatir el cambio climatico apostarian por el hidrogeno que a la larga sale mejor en todos los aspecto y con la tecnologia adecuada podrian haber hidrolineras incluso que en casa y que no vengan con que representan un alto riesgo porque la verdad mas riesgoso es tener un coche electrico que se puede incendiar sin motivo alguno y el cual no se puede apagar facilmente,0,0
hablaste arto y no dijiste nada,1,1
cada vez tengo mas claro que no me comprare un tesla en mi vida,0,0
angel en mi modesta opinion acabas de contar las verdades del futuro que nos espera por desgracia los coches por suscripcion y los electrodomesticos con ruedas son precisamente eso un saludo y espero y deseo con todas mis fuerzas que esos dos trastos mi opinion los vuelvas a poner a funcionar que si de lo contrario decides poner un v8 en uno de ellos me ofrezco voluntario a ir a trabajar gratis en el,0,0
grande angel sigue asi contando la verdad pocos como tu intentalo piratearlo,1,1
como es posible que la gente se compre estos coches sabiendo estos atropellos es intolerable en mi opinion,0,0
mas claro echale agua excelente explicacion mi amigosaludos desde argentina,0,1
eso es una pmda,1,0
teslano gracias,1,1
pedazo de video,1,1
en mi opinion creo que tesla esta actuando correctamente asi se aseguran que estos coches no vayan de mano en mano tan facilmente,0,0
arriba la gasolina,0,1
estimado angel espero que te encuentres bien quiero comentarte que el vehiculo esta actualmente inoperativo debido a ciertos problemas tecnicos entre ellos que esta configurado con un pin para conducir quiero asegurarte que esto no es resultado de una accion directa por parte de tesla entendamos que tesla siendo una marca altamente innovadora tiene sus procesos establecidos por razones muy validas una preocupacion principal de tesla es garantizar la seguridad en el uso de su red de supercargadores especialmente para evitar incidentes durante la carga a altas corrientes por esta razon los vehiculos que han sufrido accidentes suelen desconectarse automaticamente de la red para evitar cualquier riesgo sin embargo quiero aclarar que este no es el caso de tu vehiculo en este momento la solucion implica reparar adecuadamente el vehiculo y hacerlo operativo nuevamente si despues deseas utilizar la red de carga rapida sera necesario someter el vehiculo a una inspeccion si esta bien reparado tesla determinara si puede volver a conectarse a la red de carga rapida de lo contrario siempre tendras la opcion de cargarlo en casa es importante comprender que para reparar y mantener vehiculos tesla se requiere un conocimiento especifico de la marca y sus procedimientos en nuestra empresa ofrecemos formacion especializada en este ambito y estariamos encantados de colaborar contigo para asegurar el correcto funcionamiento de tu vehiculo finalmente te pediria que consideres la informacion precisa antes de hacer declaraciones en videos que podrian malinterpretarse es crucial presentar hechos con base en un entendimiento correcto para mantener el respeto y la objetividad hacia la marca agradezco tu atencion y quedo a tu disposicion para cualquier consulta o ayuda que necesites cordialmente fernando augeri cise electronics corp,0,0
pero cuando compras un tesla no es tuyo la marca decide como y cuando apaga tu coche entonces creo que es una suscripcion pagada por la totalidad de la vida util que tesla considere o te salgas de los cauces que tesla imponga e incumplas el contrato esto me recuerda a las impresoras el negocio no es vender impresoras sino los recambios originales o te capan la impresora,0,0
empecemos por el principio ese coche es procedente de estados unidos el salvage title es un siniestro total en todos los cochesn no solo tesla para pasarlo a clean title hay que repararlo y pasar una inspeccion que hacen ellos segun legislacion de algunos estados para asegurarse que no se usan piezas robadas por favor dejemonos de que si la bateria es de mercedes que si nadie ha sido capaz de repararlo qu e si no hay bornes que si la puerta trasera o que si la abuela fuma esta bajo normas americanas y si lo has comprao te la han colao o te interesaba por clicsmontar el pollo en youtube,0,0
pues por desgracia podemos ir acostumbrandonos porque esto va a ser normal en un futuro y no muy lejano lo peor de todo es que habra gente que lo defienda,0,0
pero en el tesla que angel compro no le veo la culpa a tesla aqui en estados unidos primero registras y luego haces la inspeccion o las emisiones dependiendo del estado,0,0
eso es para empotrarlo en el concesionariosin quererclarouy me confundi de pedaljaja,0,0
lo que se paga no se apaga no hay mas preguntas senoria,1,0
gracias por tu trabajolo pienso tener en cuenta cuando haga el cambio a electrico,0,0
setecientos quizas el progreso sea que aunque el coche sea tuyo realmente no lo sea porque estas supeditado a lo que diga el fabricante vamos un negocio cuando mas modernos son los coches mas aprecio mi vanette cargo,0,0
otra demanda por danos y perjuicios ha por ellos angel,1,1
angel me encantaria que sigieses con la reparacion de los teslas seria muy interesante como le das pal pelo a los de teslate gastas un dineral en un coche para que luego tengas un problema y te lo pongan en modo salvaje,0,0
la gran mentira de los coches electricosmenuda,0,0
la agenda g30 es la que nos esta arruinando como pais el ecologismo es solo para hacer mas ricos a los ricos y mas pobres a los pobres,1,0
bienvenidos al futuro de espanostan,0,1
jodermeto un dineral en un coche su supone ecologico para no contaminar salvar el planeta y por que me gusta y despues de pagarlo resulta que nunca es mio al cien es simplemente alucinante y lo mejor de todo es que siguen comprando estos coches el gobierno sabe que esa practica es totalmente ilegal y como el que ve llover simplemente alucinante,0,0
esto es lo que yo llamo corrupcion automotriz y el precio a pagar por este tipo de coches por no llamarlos lavadoras tan tecnologicos que lo unico que hacen es controlar al usuario en todo momento con razon somos muchos los que preferimos llevar coches viejos todo para que te gastes el dinero en sus talleres una estafa y metodo de manipulacion al cliente en toda regla,0,0
es increibleesto descubre la dictadura electricapregunta angel obliga la cee a tesla a dar todos los datos del vehiculo como otras marcas es decir como producto de consumo estan obligados a dar estos datos porque si es asi tesla estaria vulnerando normativas ceeen finprefiero toyota o mercedes y suerte con el monopoly tesla,1,0
hdlgs y punto,1,1
por su puesto que no es legaldenunciable cien,0,0
a por ellos angel,1,1
ahorra son lol tesla pero no os preocupes que habra mas marcas con lo mismo tienes que pasar por vicaria te pongas como te pongas ya te tienen cogido de las pelotas no te vale ir a donde perico ge los palotes ay lo que te criticaran despues,0,0
lo mismo pasa con cosas simples como los emails no puedes acceder a la cuenta sin aceptarlo en el movil pero si se te rompio el movil no puedes acceder y es un loop de estupides,0,0
te gusta guerrearte con tesla eh jajja si nadie los comprara no habria estos problemas su protocolo no es de venta y reparacion si no de dar de baja y comprate otrovaya fracaso,1,0
adaptale un chino,1,1
y la gente sigue comprando teslas,1,1
ves eso en un clasico como el mio con casi cincuenta y uno anos no pasa,0,0
no quiero un tesla ni harto vino,1,1
no entiendo como europa permite eso legalmente tenemos derecho a reparar el problema el de siempre hay que llegar a juicio,0,0
angel tendras que tirar de pirateria para poder desbloquear las lavadoras desgraciadamente casi todas las marcas estan igual tienen el control de los coches y pueden hacer con ellos lo que quieran lo mismo en un momento dado averia programada,0,0
la culpa la tienen los usuarios por comprar los tesla si nadie los comprara se acabarian las tonterias,0,0
perdonar mi expresion pero estais todos equivocado ni electrico ni atmosfericos lo suyo es un falcon solo teneis que mirar las noticias de las reuniones por el medio ambiente que vehiculos llevan los mandatarios de cada pais,0,0
pues michael motors lo tiene crudo con el tesla siniestrado que se compro,0,0
salvage quiere decir que esta catalogado como vehiculo de desguace traducid bien por favor,0,0
viva el coche electronico y la mentira que nos estamos comiendo estoy muy segura que un leon del ano dos mil contamina mucho menos que toda esta basura de coches por otra parte angel el adaptador de la bateria se vende sin problema hay muchos suzuki que tambien lo montan,0,0
verdades como punos dices una lastima todo intereses y todo mentiras,1,1
excelente video el motor a combustion creo que no se va acabar,0,0
visto lo visto con los electricos hay que aprendes a saber piratearlos y aprender a reparar las vaterias para que sea una compra rentable a largo plazo mientras tanto me he comprado dos new beetle diecinueve tdi bomba rotativa uno para usar y otro para repuestos a buen precio y ya tengo para dos vidas o hasta que proiban el diesel aunque esos inyectores queman hasta el gasoil de las calderas sin romperse,0,0
yo creo que con un dlc nuevo el asunto se arregla,0,0
hasta donde hemos llegado tener que hacerle un jailbreak a un auto para hacerlo funcionar instalar un custom firmware como una psp para liberarla pero supongo cuando esto llegue tesla va a demandar,0,0
para pensar cuando uno compra un vehiculo es de uno se perderia la garantia ok pero que no puedas usarlo porque no te vendan las partes eso es muy malo todas las companias de este tipo de carros son asi,0,0
a por ellos campeon,1,1
pero contamina menosvamos no me jodas,0,0
esto pasa porque hay demanda de coches electricos y asi juegan con nosotros tengo un wv cc veinte tdi y cuanto mas videos veo de este tipo sobre los coches electricos mas me enamoro de mi coche diesel forever,0,0
si queremos seguir viendo el progreso,1,1
en el futuro ya directamente sera el gobierno el que te prohiba circular ya sea por una multa por que te han decidido censurar por un contenido de youtube o por que ese dia por alguna ley absurda que se saquen no te corresponda poder usar el coche bonito futuro nos espera,0,0
cambiale las baterias al control,1,1
eso es el mercado amigo,0,0
la conectividad tan grande que hay hoy dia y que podria ser algo muy positivo va a acabar siendo nuestra perdicion porque permite a los cuatro locos que realmente gobiernan el mundo practicar con la sociedad los trucos de control de masas efecto de la rana hervida ventana de overton etc y como la gente esta tan aborregada no reacciona y al final vamos a acabar viviendo en un mundo donde la ficcion del libro de orwel va a ser una broma comparado con la realidad como no despertemos y empecemos a rebelarnos nos quedan cuatro telediarios,0,0
la estafaexclusividad de los coches electricos pijopremiun,0,0
