text,label,cardinalidad_vocabulario,Longitud del Comentario,Recuento de Palabras
marica ?por que los venezolanos creen que pueden opinar de la situacion politica de otro pais nosotros no queremos nada regalado como ustedes partida de hijueputas,1,24,163,26
no sabia que ya se habia posesionado pero debe ser que ya paso porque ya da ordenes a fiscalia procuraduria alcaldes y hasta a ya se restablecieron relaciones con el regimen venezolano mejor dicho ya empezo este regimen,0,30,219,38
esta noche unica funcion de mujeres de colectiva de mujeres refugiadas exiliadas y migradas proceso de varios anos de investigacion dentro de la linea de trabajo memoria y paz en el gimanasio moderno con entrada libre mas info en httpstcoaivcb30ojf httpstcoxrhzarqgdj,0,32,267,41
y a ecuador que diablos le importa lo que opinen los comunistas de venezuela!,1,14,77,14
conectandocaminosporlosderechos circula una cadena dirigida a los refugiados en la que se les promete un bono de casi two millones de pesos si ingresan a un enlace cadena falsa httpstco1musxs12xt,0,26,195,30
no se por que no denuncias a tus protegidos venezolanos delincuentes disfrasados de refugiados indocumentados que cobran fifty dolares infiltrados en el paro se hacen pasar por indigenas,1,24,186,28
entonces dime que tiene que hacer un venezolano en una manifestacion de ecuatorianos vayan a su pais a sacar a esa lacra de presidente que tienen,1,21,145,26
detras de cada camioneta hay motorizados que no tienen pinta de campesinos mas bien tienen pinta de chamos httpstcorl8hudrvif,1,15,125,19
los indigenas se estan ganando todo el odio de la gente y mas por estar de alfombras de ratas venezolanas httpstco2cgmgp46vk,1,19,124,21
que piensa uno donde alguien vota por un senor que trata de hp a su empleada por no hacer algo ilicito y despues amenaza con echarla o que equiparara la virgen con las prostitutas o que dice que al venezolano como no se le puede dar bala pues toca recibirlo o sea de verdad,1,44,273,54
opinion ?que va a pasar con la agenda pendiente que deja con los refugiados venezolanos ?que va a hacer con este tema experta de la reddevenezuela explica la importancia de ponerle atencion a esta agenda va hilo httpstcoogdqrzymny,0,27,230,38
no me sorprende la gente especulando sobre el video de la chama que si queria fama que si no que si su carrera comenzo que el only ya perdi todo tipo de fe hacia la gente del pueblo lo bueno es que cuando digo que soy de san carlos nadie sabe donde queda esa mierda,0,41,265,55
es q puedo entender pero no justificar yo no pienso en mi acento lo llevo con orgullo xq no quiero dejar de ser quien soy por el contrario creo que el trabajo es ser uno mismo y empatizar con otros no me averguenzo de ser venezolana xq lo que ocurre no es nuestra culpa,0,40,269,54
si mi chama,0,3,11,3
eso es lo q indigna la manera como obligadamente los traen q les cortan el agua o tienen q pagar multas y asi como el cuantos casos mas habra q pasen hambre exponiendose y todo,0,29,176,35
repudiamos los actos vandalicos y responsabilizamos a belgica y su refugiado por no respetar y cumplir las leyes internacionales que lo asisten las negociaciones de paz velaran por el bien de ecuatorianos y su reparacion economica inmediata httpstcoyc11oiyjhc,0,31,259,38
senora que se vayan eso es bueno porque se viene toda la inversion cubana nicaraguense venezolana y rusa nunca nadie,0,19,116,20
naguara chamoufff este triunfo de petro ya me esta cambiando conchale vale,0,12,74,12
no se que esta pasando pero ultimamente siento como un acento extrano chamo nawebona,0,14,84,14
y claro que a la patronal le interesa que esta gente entre con una mano delante y otra detras sin papeles hacinados en infraviviendas como las que les construyen al lado de los invernaderos con miedo hambre ese es el sentido de la europa fortaleza,0,39,247,45
venezuela,0,1,9,1
porque eres tan malagradecido con el chamo,0,7,42,7
una venezolana viendo como los colombianos deciden que su pais sea destruido httpstcoyvqaswudtf,0,13,95,13
las selecciones de colombia y venezuela buscaran manana la medalla de oro en el futbol femenino de los juegos bolivarianos que se disputan en valledupar colombia con el empate sera campeon eight goles a favor one en contra six puntos,0,34,233,40
uss ni mengele se atrevio a tanto tan bonita pero tan facha usted es como una buena cagada pero sin papel blanco pa limpiarse el ojete,0,24,134,26
> situacion emocional de una persona refugiada esta es tu casa httpstcoeqf5ziendp,0,12,81,12
chamas cuanto cabro ayer en la marcha que asquito eso no es de dios manas pridemonth,0,16,84,16
juegue chama juegue,0,2,19,3
y tambien estan venezolanos delincuentes disfrasados de refugiados indocumentados que usted apoya metidos en el paro y cobrando por actos terroristas deben anular la regularizacion de venezolanos deportacion inmediata,1,26,217,29
y esta no es la periodista que escribio a venezolanas para que dejaran de parir y al final dice a francia que no entendio es decir no ofrece disculpas por que se expreso mal la culpa es del otro por ser tan bruto de no entender que no se note la xenofobia y el racismo httpstcopqhu90pawo,0,38,287,56
muy venezolana tu propuesta muy bolivarianos ustedes,0,6,52,7
httpstcodxiwha93p3 maestro somos ten millones y tantos que dijimos no no tape el sol con un dedo lo que se avecinaojala no le toque buscar tolda a parte y echarse la maleta al hombro como los venecos cobardes errantes y nomadasa mi un guerrillero piromano no me representa,1,41,272,48
traidores hijueputas dan asco,0,4,29,4
?a le parece raro que una mujer venezolana empobrecida se opere las tetas y quiera vivir sabroso vea pues httpstco2ti9p05hdd,0,21,124,20
tranquilo eso quisieron los venecos y su salario es three dolares mestodos iguales en la miseriaeso paso cuando eligieron a la bestia espera eso de tu httpstcomnyf6qxjs4,0,25,169,27
"con toda campeon cuento con sumerce primera edicion premiostributoalllano uniondevoluntades donde dos paises hermanos se unen en un abrazollanero por su cultura llanera colombovenezolana whatsapp fifty-seven three billion, one hundred and eighty-seven million, five hundred and seventy-nine thousand, six hundred and eighty-eight",0,38,329,42
vea venezuela eso no estaba en las promesas de chavez o mexico eso no estaba en las promesas de amlo,0,13,100,20
los venecos queriendo dar opiniones jajajajja,1,6,45,6
si uno era un capacitado ministro de hacienda el otro un dipsomano encargado de satisfacer deseos de cuba nicaragua y venezuela,0,18,127,21
jornada positiva para colombia venezuela y chile en los juegosbolivarianos httpstco1ytuquiy6g,0,11,93,11
la modelo se ha mostrado bastante enamorada del actor venezolano gabriel coronel httpstcoxieeksh40j,0,13,99,13
alemania donde quedo la economia de mercado la libre empresa y la seguridad juridica esos terminos los he oido en venezuela hasta el cansancio y supuestamente por no cumplir con esas normas tenemos mas de five hundred sanciones se abre nuevo frente httpstcoajo44pry3i,0,39,267,43
hola soy colombiano t tengo muchas razones la primera las relaciones ejercito y petro seran algo tensas el ejercito colombiano a quien ha combatido en los ultimos seventy anos pues a la guerrilla lo otro la oligarquia colombiana es distinta a la venezolana hace thirty anos crearon las auc,0,40,289,49
mi vida en los medios fue fundamental sobre todo mi paso por el grupo de empresas 1bc donde aprendi mucho de lo excelente y dificil que implica ser venezolano me siento agradecido de todo eso aprender que lo correcto coexiste con lo injusto en fin feliz dia del periodista,0,41,272,49
lo que vengo diciendo quieten elmpoder nadie a elegidos como presindete nos quieren imponer y esos de ahi tiene facha de venecos no permitir que se rompa la democracias terrorista httpstcocjsu4i8kim,1,29,198,31
la lucha social es pacifica pero lo que hemos vivido es total vandalismo de todos los indigenas de la mano con los venezolanos,1,19,126,23
ahora son indigenas venezolanos por favor mas empatia httpstcodib31gzd4c,1,9,72,9
chamo es una palabra one hundred venezolana llevada a otras partes del mundo por venezolanos y a ella le ofende la palabra mardta sea laksjskakakkakajsjsakkakakakajsjsjsakkaakjshssjaka venecossiendovenecos httpstcom6pa5pffbm,0,25,224,27
mentirano esten ecuador sacando de youtube venezuela,0,7,52,7
hoy tuve una manana muy fructifera y satisfactoria estuve como mentora en ciberseguridad de un grupo de mujeres refugiadas emprendedoras gracias a y por esta grandiosa oportunidad httpstcozhbpaseykh,0,26,198,28
no venecos robando y cobrando por vandalizar,1,7,44,7
hoy es twenty de junio el dia mundial del refugiado quiero agradecer al gobierno ecuatoriano y cancilleria por las promesas y por todo lo que nunca cumplieron los refugiados no son seres humanos al fin httpstcouz3ggrzclv,0,33,220,36
aqui solo hay un sujeto de closet refugiado en un atico que es jefe de iza,0,14,74,16
manja rola de que chama,0,5,23,5
desde la gestion de conocimiento tambien aportamos al reconocimiento de los refugiados y migrantes conlosrefugiados httpstcohiwnlak8oc,0,15,134,16
que gonorrea un malparido tapicero veneco tiene amenazada a mi mama,1,11,67,11
alejandra y carmen son dos mujeres refugiadas que se unieron para compartir este poema con el mundo en el expresan sus sentimientos y anhelos sus esperanzas y miedos muestra tu solidaridad con ellas y con las personas forzadasahuir amplificando su mensaje httpstcoxvylnbabqf,0,35,274,42
estos venecos estan dando seguridad a los manifestantes detras de cada camioneta estan motorizados con estos httpstcotio983po7u httpstcohjlx2fole5,1,16,146,18
hoy conmemoramos el dia mundial del refugiado designado por la onu para honrar y fortalecer a las personas refugiadas y desplazadas de todo el mundo a quienes se han visto obligadas a abandonar su hogar escapando de conflictos o persecuciones,0,35,242,40
senor reactivar las relaciones traera bienestar para los colombianos en especial a los de la frontera y por ahi derecho generara lo mismo con los venezolanos ? por que les cuesta tanto entender eso no le cabe en la cabeza,0,35,221,40
feliz tarde el talento de los jovenes venezolanos recorre el mundo les comparto desde chile la fete sinodpc httpstco4yrfdqfiuo,0,18,126,19
los venecos nunca dejan de figurar en ninguna eleccion del mundo hahaha httpstcoxkoa3r4xjs,1,13,90,13
el nuevo presidente de colombia gustavo petro anuncio su acercamiento con el gobierno de nicolas maduro para hablar sobre fronteras y derechos humanos httpstcojftuxluhjn,0,22,169,24
bien dicho me gustaria que el presidente lasso acoja el pedido del pueblo ecuatoriano en relacion a los extranjeros indocumentados que la causa de la criminalidad y protestas en este pais,1,27,187,31
y esta no es la periodista que escribio a venezolanas para que dejaran de parir y al final dice a francia que no entendio es decir no ofrece disculpas por que se expreso mal la culpa es del otro por ser tan bruto de no entender que no se note la xenofobia y el racismo httpstcozetj8qgfzq,0,38,287,56
que tu haces que no me has mandado esos videos chamo pense que eramos amigos jajajajaja,0,14,87,16
sidor es venezolana estas dando un dato suelto sin contexto confundes y asi no se llega a ningun lado obviamente las empresas venezolanas van a estar en la ruina por las sanciones no defiendo a maduro que es un corrupto pero el ya no estaria si no hubiera sanciones,0,40,265,49
en venezuela tambien le pidieron a quienes no compartian el amor por chavez que se fueran del pais hoy alrededor de siete millones de venezolanos hacen parte de la diaspora que se rebusca un pedazo de pan por el mundo,0,33,217,40
no es asi cuanto dinero de los chamos queda aca si ganan un dolar 80ctvs lo mandan venezuela esta dolarizada claro que si o como sobreviven en la gran republica bolivariana otra cosa es no querer darse cuenta,0,35,208,38
pero si el muy huevon quiere legalizar a todas las ratas venezolanas que se encuentran delinquiendo,1,16,99,16
la narcotirania chavista tiene material para hacer pasaportes a terroristas iranies pero los venezolanos deben esperar mas de six meses httpstcofmurzn93ud,1,21,154,21
en el mundo hay mas refugiados y desplazados que nunca la mitad son ninas y ninos que han dejado todo atras durante mas de seventy anos world vision ha estado alli para las ninas y ninos cuyas vidas cambian enuninstante diadelrefugiado httpstcomhc2efcsop,0,36,254,42
deberian pedir visa a los venezolanos para regular el ingreso como hace muchos anos ellos no la requerian tambien cuando los colombianos migraron a venezuela,0,23,157,25
?y el exodo de venezuela tambien es por el cambio climatico o por el cambio de gobierno,0,13,87,17
"mas de seventeen thousand, eight hundred ucranianos ya han tramitado en andalucia la proteccion temporal a refugiados httpstcoryisamnuno",0,19,136,18
en ecuador que es el unico pais en el mundo que botan la produccion lechera y agricola que serviria para alimentar a miles de familias venezolanas que viven en la indigencia,0,24,173,31
ser inmigrante indocumentado es sinonimo de muerte en estos tiempos httpstcoxaoygd0jii,0,11,86,11
derechos de los refugiados derechos humanos el respeto a las personas que se vieron forzadasahuir no es opcional ni se puede negociar httpstcoyybuyzz4fy,0,21,152,23
las mujeres y ninas refugiadas deben ser protegidas contra la manipulacion el abuso y la explotacion de caracter sexual y fisico asi como contra la discriminacion sexual en el suministro de bienes y servicios diadelaspersonasrefugiadas httpstcoqrhdgrvsw6,0,27,254,36
que colombia no es como venezuela ni como nicaragua ni como peru ni como chilepues si estamos de acuerdo colombia podria llegar a ser peor con el sociocomunismo mas radical de latinoamerica cuidado con ese acuerdo nacional podria ser la mayor trampa de la historia,0,32,264,45
como el nuevo presidente de colombia va a acogerlos hay que guardarlos para que los deporten a estos venecos y cubanos malandros pagados por el narcoterrorismo marcado en el pais desde la decada robada,1,30,201,34
veneco hpta,1,2,11,2
largo de aqui veneco hp,1,5,23,5
me disculpan pero no puedo creer en cualquier religion cuando pasan cosas asi y silencian ahora lo q pasa en venezuela y demas paises de la disque patria grande httpstcoujmgli9mjh,0,28,179,30
calla veneco tonto inutil asalariado de,1,6,39,6
expulsenlos a todos aquellos que sin papeles y sin trabajo deambulas por las calles,1,13,83,14
venezuela por tu culpa esta asi veneco asqueroso,1,8,48,8
se te olvido mencionar que ya se unieron o siempre estuvieron presentes los cabecillas barriales de las famosas cdr comites de defensa de la revolucion que formaron durante la decada correista al mas puro estilo cubano venezolano y ojo con entrenamiento incluido no es invento,0,40,276,45
solo two cosas one es una persona nefasta para la politica peruana con denuncias por corrupcion two si colombia lo eligio como presidente cumpla con su pueblo y no copie modelos socialistas como su vecino venezuela httpstco4iiv7sodiz,0,33,233,37
no debes opinar nada tu no eres ecuatoriano eres un chamo mas en ecuador boscan,1,13,79,15
si ecuador para ti son los twenty thousand indigenas mas algunos venecos las guerrillas urbanas las femilocas entonces estas mal no mas subsidios iza no manda sino el pueblo y el pueblo eligio su presidente izaterroristacorreafinancista,1,31,236,36
imaginate no tener derecho a la identidad en tu pais imaginate no tenerlo en otro pais distinto al tuyo eso es lo que ha hecho el chavismo negarnos el derecho a la identidad estes donde estes es una maldicion ser venezolano eres una paria,0,32,238,44
no seremos venezuela o cuba no a la constituyente,0,8,49,9
aca en peru un monton de venecis viven sabroso pidiendo dinero con un cochecito de bebe con crios de one a two anos en un mismo cochecito bien apretaditos se la saben hacer los venecosmientras el peruano se sacala nona y no esta pidiendo nada a nadiecomo si lo hacen estos vagos,1,42,278,52
se acuerdan cuando escribio esa asquerosa columna contra las venezolanas bien por fin alguien la dejo en su sitio te adoro,0,21,122,21
en serio lo de diplomatico x comprar comida para un pais un malandro de quinta que saqueo las arcas venezolanas para su grupitosi sabe como vivia antes de la era madurista y lo q tiene ahora comida de one thousand dolares y cobrada x one hundred asi cualquiera no asco,0,40,268,50
el ultimo tweet de la noche cabe recordar que la primera punzada a la muy probable estrella de nacional se la dio rafael dudamel en ese horripilante thirty-three en palmaseca si ese dia perdia se iba el arriero piscis pacho pero bueno el chamo les ayudo,0,37,253,46
chama yo si obligada por mi dra al principio y fue lo mejor de lo mejor la volveria a usar mil veces,0,20,100,22
las personas refugiadas tambien tienen suenos y esperanzas en este video tatiana nos habla de todo lo que le gustaria hacer junto a su padre y hermana se vio obligada a huir de colombia despues de sufrir amenazas pero eso no frena sus ganas de vivir soyhumano soyhumana httpstcoztk0uicv26,0,44,288,49
cuando me hice los nipples y el primer nostril yo toda cagada le pregunte al chamo si alguien se habia desmayado antes y el uuuy un monton de gente y bueno ya estaba predispuesta a caer templinche httpstcobiomrab2b7,0,35,215,38
no mi mama es bien decente y talvez comparados con venezuela si somos un paraiso si no estarian en su pais y aunque son muchos los buenos mi punto es que por las trochas pasan todos los delincuentes sin papeles si nombre a robar a matar a hacer danos,1,40,250,49
pese estar en el mes mundial del refugiado migrante y personas en situacion de no retorno tenemos conmemorar con estas atroces imagenes httpstcow0zqkrcnew,0,22,154,23
ya somos komo venesuela,0,4,23,4
tremendo discurso sin papel mama de dilan antanas y su gente que le gritaba si se pudo no mas guerra dios le de sabiduria para afrontar todos los problemas sociales politicos economicos en fin...,0,33,195,34
yo creo que al final descubriremos que este man es venezolano,1,10,61,11
te recomiendo comprender la lectura de mi tweet pues siempre he apoyado a los venezolanos caramba tampoco se ayudan,0,19,115,19
"oro para peru en la esgrima de los juegosbolivarianos2022 el peruano lucas lutar vencio one thousand, five hundred and fourteen al venezolano antonio leal en la competencia de florete asi fue el final del enfrentamiento httpstcotmqspsvcld",0,33,238,36
empezo el cambio ya todos los bandidos a las calles petro sin posesionarse ya esta violando la division de poderes me rio de la clase politica que se fue con el en menos de un ano les da una patada y nos pone a sostener la dictadura venezolana,0,41,243,48
las mujeres y ninas refugiadas deben ser protegidas contra la manipulacion el abuso y la explotacion de caracter sexual y fisico asi como contra la discriminacion sexual en el suministro de bienes y servicios diadelaspersonasrefugiadas httpstcodrznbnat95,0,27,254,36
es el chamo mas sortario de vzla lo pusieron en la presid de la an porque no habia mas nadie lo reconoce eeuu no le mandan marines pero le asignan recursos y cuando creia que su fin estaba cerca lo sigue reconociendo bidenel solo esta esperando que le digan chao,0,41,262,50
en el diadelrefugiado llevamos un delicioso almuerzo para compartir con personas refugiadas de la comunidad de san martin de porres el plato estrella fue sin duda el pabellon criollo httpstcorniarjwlgc,0,26,201,30
sabia que bolivar fue calificado en su epoca como guerrillero o bandolero sabia que los origenes del ejercito se remontan a una cuadrilla de forajidos refugiada en los llanos de casanare,0,26,186,31
un ano mas de conmemoracion y seguimos con una gran deuda social con los refugiados en el ecuador este ano denominado quien sea donde sea cuando sea toda persona tiene derecho a buscar proteccion diadelrefugio migraciones ciudadaniauniversal integracion httpstcovyumzmtwmf,0,35,272,39
autoridades venezolanas en alerta por una onda tropical que podria convertirse en tormenta y afectar las costas del pais httpstcoscenpidmzw,0,19,139,20
pero bueno ya paso lo que paso lo unico que queda es aceptar la derrota y esperar a que el plan de gobierno inviable pueda por lo menos dejar frutos en su mejor escenario de lo contrario preparanse para ser los nuevos chamos jajajajaja,0,37,235,44
mca esa chama me da muy mala espina,0,8,35,8
especialmente ustedes ya nadie les cree hijueputas vendidos al poder,0,10,68,10
creeria que en relacion a su poblacion deben ser menores a la venezolanas... no creo sea por ahi,0,18,96,18
chamo noo jajajajajja httpstcovblyvlrj8s,0,4,40,4
de ucrania a venezuela se multiplica la cifra de refugiados en todo el httpstcob5rqgbi2be a traves de,0,14,101,17
ahi estan tus indefensos venecos,1,5,32,5
en su desafiliacion dice que se va con profunda tristeza cristina reyes se va porque en los sondeos de opinion no figura ni como cantante de grupo se unio a cinthya viteri que no es afiliada al psc hace ten anos y goza de estatus de refugiada en madera de guerrero,0,40,264,51
al menos forty-six cuerpos de migrantes sin documentos fueron encontrados en un camion con remolque en san antonio texas informo abc news citando fuentes otras sixteen personas entre ellas cuatro ninos fueron trasladadas a hospitales de la zona con sintomas de deshidratacion sputnik,0,38,283,43
me estoy acordando que en el two thousand and seventeen en venezuela cuando se hacian las megas colas en el saime en caracas siempre habian personas vestidas como en los tiempos de jesus ?alguien mas los vio httpstcoz0rx4g6aam,0,33,226,38
claro el es venezuela,0,4,21,4
tu tambien eres de los venecos q dicen haiga como el editor de el nacionaldigital en una entrevista de un portal paraco especialista en economia y el pobre hp pelo el cobre de lo estupido q sonlos escuacas,1,30,205,38
vicepresidente sin papel en crisis politica httpstcotruirt8owo,0,7,62,7
lo que hizo y hace aun hoy en dia la oposicion venezolana,0,12,57,12
buenas noticias para el pueblo y malas para el veneco,0,8,53,10
calla veneco de mierda,1,4,22,4
vienen a hacer aqui en ecuador lo que en su pais no pudieron asi se defiende al pueblo chamos aprendan,0,19,102,20
amigues venecos yo no estoy apoyando a ningun partido en colombia yo ni cabeza tengo pa pensar en eso no pongan palabras en mi boca que no he dicho besos,0,25,153,30
gustavo petro comunica al gobierno venezolano su intencion de reabrir la frontera httpstcouvaioz0lul a traves de,0,15,112,16
en colombia ni el petroleo que tiene venezuela ni las fuerzas armadas amigas ni el legislativo mayoria de petro tres simples detalles para que el modelo venezolano no aplique aca cosas que si tuvo chavez a ver si de una vez por todas le acaban a ese cuento,0,39,256,48
se ve que no sirvio de nada el ejemplo venezolano el nuestro con fourteen anos de corrupcion de la banda narcodelictiva correista en fin tal vez deben probar de primera mano la miseria que es capaz de atraer los de izquierda httpstcouilxmx1tio,0,34,243,42
amix ya no quiero ser la prima exotica les blanques de mi familia se olvidaron porque se fueron del pais sin papeles a buscar un mejor futuro,0,26,141,27
parece q la puteada que le dio el ministro lo hizo cambiar se opinion al chamo verguenza ajena la posta,0,19,103,20
holas chamas,0,2,12,2
si el cierre decretado por maduro en el two thousand and fifteen fue muy grave para luego expulsar a twenty thousand colombianos de tachira y luego profudizar la decidia en todo el pais que provoco la salida de muchos compatriotas venezolanos,0,34,242,41
y porque no te largas de colombia de regreso a venezuela sus compatriotas aqui solo vienen a robar y a delinquir sobran ustedes venecos y nadie los va a echar de menos,1,25,167,32
20dejuniode2022 en el marco del dia mundial del refugiado se une a la consigna de que toda persona tiene derecho a buscar proteccion diadelrefugiado httpstcobhnz71of5g,0,23,167,25
de ninguna manera es la respuesta a la malas administraciones anteriores y a la pesima de duque pero yo conozco pais socialistas como rumania cuba y mas cerca venezuela y la democracias es la escalera por la cual suben esos gobiernos al poder u luego la tiran abajo,0,37,265,48
de que en el ultimo siglo ha perdido la mayoria de las guerras directas en las que entran vemos como utilizan a terceros para sus objetivos libia siria ucrania venezuela nicaragua cuba etc en todos esos paises utilizan proxis para sus actividades de subversion koba httpstcop6zh6vk7mr,0,37,284,46
dios mio la chama de echele de cabeza es demasiado pero demasiado de izquierda ahora me encanta mas,0,15,99,18
un tipejo tan limitado solo puede haber salido de teleamazonas httpstco81clc0k3mo,0,11,81,11
esos productos no pasaran por aduana asi que llegaran por via terrestre sin papeles de origen sin garantia mas perjuicio para el estado para el pais para los mismos indigenas pero los responsables son los lideres indigenas que propician la violencia,0,32,249,41
todos deberian saber quien realmente fue simon bolivar y donde estuvo mientras los soldados ecuatorianos estaban en la guerra conociendo la verdad de bolivar de acabara la idealizacion de ese venezolano la historia es muy diferente a como se la conto,0,34,250,41
q increible ese tenia menos futuro que un refugiado en siria,0,11,60,11
por ejemplo la semana pasa que esta de regreso del trabajo quise pasar una parte que estaban quemando llantas pero antes del punto se me acercaron dos tipos y con voz de venezolano me dijo que si no le daba plata le pinchaba las llantas,1,38,236,45
nuestros pero eres veneco,1,4,25,4
aqui estos venezolanos delincuentes disfrasados de refugiados indocumentados estan cobrando fifty dolares para esta infiltrados ocacionando caos cobran peaje para dejar pasar autos deroguen esa huevada de regularizacion,1,26,219,28
?y a la oposicion venezolana como para que le importan los petrovideos respetuosamente le aconsejo hermano venezolano que busquen la solucion a sus conflictos en su pais y no en el exterior el cambio es positivo en cualquier democracia y evita el totalitarismo,1,34,260,43
y asi empezo venezuela chamo jajaja esta gente no se cansa de ese discurso refrito lo mismo dijeron cuando gano amlo en mexico y boric en chile jaja httpstcorkgh4nuydn,0,27,167,29
lo mio tiene calidad lo tuyo son monos saltando,0,8,47,9
diamundialdelosrefugiados los derechos de la ninez migrante y refugiada estan permanentemente en riesgo por su condicion de movilidad noescuento que debemos unirnos por la proteccion de todos los ninos ninas y adolescentes migrantes y refugiados proteccionya httpstco8lztcvqymw,0,30,277,37
no te dejas ver pue chama,0,6,25,6
ud esta refugiado por corrupto cuanta doble moral suya companerito,0,10,66,10
los seguidores del gobierno solo lloran por todo que victimas mas tremendas como novela venezolana,0,15,98,15
eran venezolanos se estan aprovechando de la situacion del pais para delinquir,1,12,78,12
es lo mejor no puede enfrentar pueblo contra pueblo pero si actuen contra eso infiltrados venezolanos delincuentes disfrasados de refugiados indocumentados cobrando peaje y delinquiendo,1,23,185,25
claro que petro nos recordaba que la migracion de los venezolanos se debia el cambio climatico y al petroleo obviamente no al sistema politico ni al modelo que el mismo va a replicar aca,0,29,186,34
